file,artist,title,lyrics,mood,year
TRAACER128F4290F96.h5,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,"First off let me say you look so tired...
Rest your head and shut your eyes
Empty ambition blankets the sky...
I'm thinking 'bout another world

Tonight
So drop the gown the game's over just push your face into the fight and it breaks my heart like dancing up all night ride so high we both start thinking 'bout another world tonight
And it feels so wrong like nothing we've ever...
Felt before

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Close your eyes tonight
Baby you can have it
Baby you can have it

Ooh baby gnaw me
Down to the bone
Soon you'll find I'm never gonna take you back home
Well there's so much you never told me
And there's not much I want to know
'cause your pretty face will do just fine
You'll be the star...

Of my every last show
Let's go for a long ride I'll show you places you won't ever want to leave

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
The stranger's candy, broken alleys
Tonight we could bring it all down we could bring it all down

They think this body's a dead note dancing to the beat but they'll never see this corpse coming 'till it kills them",1,2004
TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease,"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love",1,1997
TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon,"If you ever make it back to Nashville
Remember you have still got a friend
I'll meet you at the Parthenon
That's the place we always went

It's been so dull since you left Nashville
I've read the same books again &amp; again
It makes me wish I wasn't bashful
When it comes to other men

But if I could have my way
Darling you'd come home

Remember when you moved to Nashville
And the first time that we kissed
Remember when your mother found us
Remember that you're sorely missed

And when you make it back to Nashville
We'll forget all of your sins
And I still buy two pairs of everything
So when you come home you &amp; I'll be twins

Because if I could have my way
I wouldn't be alone",1,2006
TRAAEEH128E0795DFE.h5,Chris Rea,Driving Home For Christmas,"I'm driving home for Christmas
Oh, I can't wait to see those faces
I'm driving home for Christmas, yeah
Well, I'm moving down that line

And it's been so long
But I will be there
I sing this song
To pass the time away

Driving in my car
Driving home for Christmas

It's gonna take some time
But I'll get there
Top to toe in tailbacks
Oh, I got red lights all around
But soon there'll be a freeway, yeah
Get my feet on holy ground

So I sing for you
Though you can't hear me
When I get through
And feel you near me

Driving in my car
I'm driving home for Christmas
Driving home for Christmas
With a thousand memories

I take look at the driver next to me
He's just the same
Just the same

Top to toe in tailbacks
Oh, I got red lights all around
I'm driving home for Christmas, yeah
Get my feet on holy ground

So I sing for you
Though you can't hear me
When I get through
Oh and feel you near me

Driving in my car
Driving home for Christmas
Driving home for Christmas
With a thousand memories

I take look at the driver next to me
He's just the same
He's driving home, driving home
Driving home for Christmas",1,1986
TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started,"Let's get it started, in here...

And the bass keep runnin' runnin', 
And runnin' runnin', 
And runnin' runnin',
And runnin' runnin',
And runnin' runnin', 
And runnin' runnin', 
And runnin' runnin', 
And runnin' runnin', and...

In this context, there's no disrespect, so, when I bust my rhyme, you break your necks
We got five minutes for us to disconnect, from all intellect and let the rhythm effect
Obstacles are inefficient, follow your intuition, free your inner soul and break away from tradition 
Coz when we beat out, girl is pullin' without. You wouldn't believe how we wow shit out
Burn it till it's burned out. Turn it till it's turned out. Act up from north, west, east, south

Everybody, everybody, let's get into it
Get stupid
Get it started, (come on) get it started, (yea) get it started
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here. 
Let's get it started in (ha), let's get it started in here.
Yeah

Lose control, of body and soul
Don't move too fast, people, just take it slow
Don't get ahead, just jump into it
Ya'll hear about it, the Peas'll do it
Get stutted, get stupid
Don't worry 'bout it people will walk you through it
Step by step, like you're into new kid
Inch by inch with the new solution
Transmit hits, with no delusion
The feeling's irresistible and that's how we movin'

Everybody, everybody, let's get into it
Get stupid
Get it started, (come on) get it started, (yea) get it started
Let's get it started in (ha), let's get it started in here
Let's get it started in (ha), let's get it started in here 
Let's get it started in (ha), let's get it started in here 
Let's get it started in (ha), let's get it started in here 
Yeah.

The bass keeps runnin' runnin', and runnin' runnin', 
And runnin' runnin', and runnin runnin' and... 

C'mon y'all, lets get cookoo! (uh huh)
Lets get cookoo! (in here)
Why not get cookoo! (uh huh)
Lets get cookoo! (in here)
Why not get cookoo! (uh huh)
Lets get cookoo! (in here) Ow, ow, ow!
Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya...

Let's get ill, that's the deal.
At the gate, we'll bring the bud top drill. (Just)
Lose your mind this is the time,
Ya'll test this drill, Just and bang your spine. (Just)
Bob your head like Apl.De, up inside your club or in your Bentley.
Get messy, loud and sick.
Ya'll mount past slow mo in another head trip. (So)
Come then now do not correct it, let's get ignant let's get hectic.

Everybody, everybody, let's get into it.
Get stupid. (Come on)
Get it started (come on) , get it started, get it started.
Let's get it started in (ha), let's get it started in here. 
Let's get it started in (ha), let's get it started in here.
Let's get it started in (ha), let's get it started in here.
Let's get it started in (ha), let's get it started
(Whoa, whoa, whoa) in here. 
Yeah.

Cookoo (uh huh) 
We cookoo! (in here)
Lets get cookoo! (uh huh)
We cookoo! (in here)
Why not get cookoo! (uh huh)
We cookoo! (in here) Ow, ow, ow!
Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya...

Runnin' runnin', and runnin' runnin', 
And runnin' runnin', and runnin' runnin'",1,2004
TRAAGEC128E079252C.h5,Nine Inch Nails,Metal,"We're in the building where they make us grow
And I'm frightened by the liquid engineers
Like you

My mallory heart
Is sure to fail
I could crawl around the floor
Just like I'm real
Like you

The sound of metal
I want to be 
You
I should learn to be man
Like you

Plug me in
And turn me on
Oh everything is moving here

I need my treatment
It's tomorrow they send me
Singing ""I am an American""
Do you?

Picture this
If I should make the change
I'd love to pull the wires from the wall!
Did you?

And who are you?
And how can I try?
Here inside I like the metal
Don't you?

All I know, is no one dies
I'm still confusing love with need",0,2000
TRAAGJV128F1464090.h5,Lesley Gore,It's My Party,"It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Nobody knows where my Johnny has gone
But Judy left the same time
Why was he holding her hand
When he's supposed to be mine?

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Play all my records, keep dancing all night
But leave me alone for awhile
Till Johnny's dancing with me
I've got no reason to smile

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Judy and Johnny just walked through the door
Like a queen with her king
Oh, what a birthday surprise
Judy's wearing his ring

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too, if it happened to you

Oh, it's my party and I'll cry if I want to",0,1963
TRAAGPH128F4273C8D.h5,Savage Garden,You Can Still Be Free,"Cool breeze and autumn leaves
Slow motion daylight
A lone pair of watchful eyes
Oversee the living
Feel the presence all around
A tortured soul
A wound unhealing
No regrets or promises
The past is gone
But you can still be free...
If time will set you free...

Time now to spread your wings
To take to flight
The life endeavor
Aim for the burning sun
You're trapped inside
But you can still be free...
If time will set you free...
But it's a long long way to go

Keep moving way up high
You see the light
It shines forever
Sail through the crimson skies
The purest light
The light that sets you free...
If time will set you free...

Sail through the wind and rain tonight
You're free to fly tonight
And you can still be free...
If time will set you free...
And go high like the mountain tops
And go high like the wind don't stop
And go high
Hooo
Free to fly tonight
Free to fly tonight",0,1999
TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came,"When you say it's dead and gone
Yes, I know you're wrong
Cut and slash, sharpest knife
It won't die
Poison cup, drank it up
It won't die
No fire, no gun, no rope, no stone
It won't die

Why you gotta shove it in my face
As if you put me in my place?
'Cause I don't care if you or me is wrong or right
Ain't gonna spend another night
In your bed
In your bed

Laws of man are just pretend
They ain't mine
Love so good, love so bad
It won't die
Some talk too long, they know it all
I just smile and move on

Words ain't free, like you and me
I don't mind

Why'd you have to be so mean and cruel?
The dogs are loose, I'm on to you
You ball and chained together from the dawn to dusk
Can't call it leavin', 'cause it's just
I never came
I never came
I never came
I never came
I never came
I never came",0,2005
TRAAIHL128F92E6DDA.h5,Boyz II Men,On Bended Knee,"And I....

Darlin' I, I can't explain
Where did we lose our way
Girl it's drivin' me insane
And I know I just need one more chance
To prove my love to you
If you come back to me
I'll guarantee
That I'll never let you go

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee

So many nights I dream of you
Holding my pillow tight
I know that I don't need to be alone
When I open up my eyes
To face reality
Every moment without you
It seems like eternity
I'm begging you, begging you come back to me


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee

Baby, Im sorry. 
Please forgive me for all the wrong I've done.
Please come back home girl. 
I know you put all your trust
in me, I'm sorry I let you down. 
Please forgive me girl.

I'm gonna swallow my pride
Say I'm sorry
Stop pointing fingers, the blame is on me
I want a new life
And I want it with you
If you feel the same
Don't ever let it go
You gotta believe, in the spirit of love
it can heal all things
We won't hurt any more
No I don't believe our love's terminal
I'm down on my knees, begging you please
Come home


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again, until you come back to me
I'm down on bended knee",0,1994
