	file	artist	title	lyrics
0	subset_msd_summary_file.h5	Mastodon	Deep Sea Creature	"Knowing right, learning wrong
What you're feeling is pressure
Pulsate new blood

I've seen things you've heard never before
Bones aged in dust
Buy your bite, take the body

Calm, shutting down
You built me
I knew it

I'll never lie, liar
You fed me
I chewed it

I'll never lie, liar
I follow you, covering me
Spirits in pieces
Crumbled and burnt"
1	TRAAAAW128F429D538.h5	Casual	I Didn't Mean To	"Verse One:

Alright I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back
My niggas warnin me that she was comin on to me
I react like a mack do I act cool
Just to test her cause I ain't no jester
I suggest her and her friend be outtie
Cause I don't want to make my pals get rowdy
And doubt me our friendship
But when lips touch
I go crazy in the clutch
Sorta like schitzo I forgets my bros and pals over gals
I didn't mean to but when you fiend you do
Strange things for the denim no matter who's in em
Grab a flooze then I'm in traffic
Don't laugh it might be your girl that I'm talkin about
I didn't mean to

Chorus: Repeat 2X

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught (I didn't mean to)

Verse Two:

Another incident when I went
Way beyond what I should of done
John should of stopped before them drawers dropped
But I didn't ain't no quittin
Really didn't care who's girl I was hittin
I admit skinz ain't a reason to lose friends
But then again I didn't know, sorry
Accept apologies and live on
Are we goin hold grudges well oh fudge
Its a new year and I do fear
Ya actions ya actin shy
I mean ya need to be smackin
That hoe
Instead of tryin to front on me ya know
Thats exactly how I'm goin to be ya know
I run my game on any G ya know
Cause we the most entertainin
I meant to blame women
For makin me do what the Ak seem to
When you call I screen you
I didn't mean to

Chorus


Verse Three:

Why do fools be schememin dreamin
Actin like demons
Niggas don't give a fuck
Because they beat shit
To many girls front cute
When they want loot
They tell lies the swell guys
Can peep it and thats weak shit
Thats why I run game on every freak I get
Born in Oakland grew up pumpin Too Short
I know the rules on the flooze so who's short
I once had a ho who smoked blunts yo
She tried to get me so I looked at the front door
And now shes not with me so forget it
But every once in a while I'll hit it
And it happened to be your girl
I didn't mean to and I been through
Your relationship and I hate dumb dips
But I really can't trip when they ride my tip
I didn't mean to

Chorus"
2	TRAAABD128F429CF47.h5	The Box Tops	Soul Deep	"Darling, I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

I'll work myself to death for you
Just to show I adore you
Nothing I wouldn't do for you

'Cause my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

All I ever, ever hope to be
Depends on your love for me
Baby, believe me
If you should leave me
I'd be nothing but an empty shell
I know darn well, I can tell, now

I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide and it can't be denied
My love is a river running soul deep

My love is a river running soul deep
Way down inside me, it's-a soul deep
My love is a river running soul deep
Way down inside me, it's-a soul deep
Well, my love is a river running soul deep
Way down inside me, it's-a soul deep"
4	TRAAAEF128F4273421.h5	Adam Ant	Something Girls	"Adam Ant/Marco Pirroni
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something
Every girl is a something girl
Every girl has a somehing smile
Every girl is a something girl
For a while
If I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls
Every girl is a something girl
From the whites of her eyes
To the tip of a curl
Every girl sends a something boy
With that something
When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through
Every girl is a something girl
She's got she's got something"
5	TRAAAFD128F92F423A.h5	Gob	Face the Ashes	"I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there
His limb is red, I have all clear
Settle the wave I'm on my way
Dreaming of red, memories are worst

I feel abrasive worn and tired, don't think I could win
Take me to a place I adore and then seal me in
I'm not the one I swear I'm not, no matter how I felt
Die in a crossfire runaway, face the ash again
Someone is killing me"
9	TRAAARJ128F9320760.h5	Planet P Project	Pink World	"there's a pink world
comin' down
yeah, there's a pink world
comin' down
in a quite little village by the sea
I hear the calling and it calls for you and me
so leave your riches and your houses on the hills
cancel all your credit cards and settle up your bills
cause you won't need them anymore
close down the factories
blow up all the stores
cause there's a pink world
comin' down
yeah, there's a pink world
comin' down
once I stood in new york city with a sign
sayin', ""the end is comin', friends
repent while there's still time""
I will admit that no one really seemed to hear
they would laugh and point their fingers
at my sandals and my beard
but now they'll listen when I say
I have proof, cause I read it in the supermarket today
there's a pink world
comin' down
and it rolls like an avalanche
and it will sweep you away
yes it rolls like an avalanche
and it will carry us away"
15	TRAABJV128F1460C49.h5	Lionel Richie	Tonight Will Be Alright	"Little darling 
Where you've been so long 
I've been out here thinking about ya 
And the feeling's real strong 
Well the time has come to celebrate 
You and me girl so sounds great 
Cause tonight will be alright 
Oh baby 

Little darling, come on 
Let's take a ride 
To a midnight honey town and set it on fire 
We don't want to be mad 
But we have to be cool 
You and me girl 
Let's break all the rules 
Cause tonight will be alright 
Oh my baby, I'm gonna say it again 
I can see us moving on 
Down the highway 
I can see us loving 
Till our hearts desire 
Anything you wanna do girl 
You just tell me 
Cause it's alright, cause it's alright 

Little darling, telling you no use 
Keep me thinking about you honey 
My soul's on fire 
Well if you want me girl 
And the games I play 
Anything's alright, anything you say 
Cause tonight will be alright 
Alright, baby I'll say it again, alright 
Alright, alright, alright, baby 
We gonna make it alright 
You and me baby, alright"
16	TRAABLR128F423B7E3.h5	Blue Rodeo	Floating	"Well, these late night conversations
Leave a strange taste
Like french cigarettes
And these coloured drinks
That you keep on throwin' at me
Just keep on reminding me
I came to forget

So now every night
You insist on reminding me
Of my lost possibilities
And the stains on the wall
Well, I don't mean to complain
But it hurts just the same
And now both of us know
The leaves will fall on their own

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm goin' fast
I need love and it's you
And I feel like William Holden floating in a pool

Yea, you tell me
Life is for living
It's best in the giving
But it's so hard to be free
Still I do my best
But you refuse my gift
And now all that we share
Is a collection of tears

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm going fast
I need love and it's you
And I feel like William Holden floating in a pool"
19	TRAABVM128F92CA9DC.h5	Tesla	Caught In A Dream	"If you can imagine this
The whole world sharin' one big kiss
These are thoughts all through my brain
That I daydream every day
I'm alive and well
Right now I'm alive, I'm feelin' well
It's my life to live my way
So I'll keep daydreaming away
Who knows, maybe someday it will all come true
And I will get my way
And we will live as one

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

what cannot will be done
for every living thing under the sun
foggy color foggy race
just be one big happy face
among the sea of people
live among God's creatures sharing love 
that was sent down from above
here to share with one another
father, brother, sister, mother
everybody sharing love
sharing love

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

I close my eyes
And everything will be alright
Here in my fantasy
Living in harmony
Make my dream come alive

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

If you can imagine this
The whole world sharin' one big kiss
Take away the pain and hurt
Make like heaven here on earth
Without reason to die
Givin' everlasting life to all"
24	TRAACER128F4290F96.h5	The Dillinger Escape Plan	Setting Fire to Sleeping Giants	"First off let me say you look so tired...
Rest your head and shut your eyes
Empty ambition blankets the sky...
I'm thinking 'bout another world

Tonight
So drop the gown the game's over just push your face into the fight and it breaks my heart like dancing up all night ride so high we both start thinking 'bout another world tonight
And it feels so wrong like nothing we've ever...
Felt before

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Close your eyes tonight
Baby you can have it
Baby you can have it

Ooh baby gnaw me
Down to the bone
Soon you'll find I'm never gonna take you back home
Well there's so much you never told me
And there's not much I want to know
'cause your pretty face will do just fine
You'll be the star...

Of my every last show
Let's go for a long ride I'll show you places you won't ever want to leave

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
The stranger's candy, broken alleys
Tonight we could bring it all down we could bring it all down

They think this body's a dead note dancing to the beat but they'll never see this corpse coming 'till it kills them"
